"nome","resumo","coordenador"
"Guia de Arquitetura de Petrópolis/RJ","Em breve este conteúdo estará disponível.","ARTHUR CAMPOS TAVARES FILHO"
"Laboratório de narrativas gráficas: crônicas petropolitanas em quadrinhos","Em breve este conteúdo estará disponível.","BERNARDO DA SILVA VIEIRA"
"Olhos de ver: a produção de materiais inclusivos sobre história e patrimônio em Petrópolis","Em breve este conteúdo estará disponível.","CARINA MARTINS COSTA"
"EXPORVISÕES: DIVULGANDO O PATRIMÔNIO DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","CARINA MARTINS COSTA"
"Descolonizar práticas projetuais nos/com território: ensino extensão e pesquisa no Antropoceno","Em breve este conteúdo estará disponível.","GABRIEL SCHVARSBERG"
"Ver e viver cidades: cartografia dos afetos urbanos em Petrópolis RJ","Em breve este conteúdo estará disponível.","GLAUCINEIDE DO NASCIMENTO COELHO"
"Monitoria de Urbanismo","Em breve este conteúdo estará disponível.","LUCIANA ALEM GENNARI"
"Planejamento estratégico participativo para preservação do Palácio Amarelo","Em breve este conteúdo estará disponível.","MARIA DAS GRAÇAS FERREIRA"
"Levantamento dos aspectos físicos das praças públicas de Petrópolis RJ","Em breve este conteúdo estará disponível.","SABRINA ANDRADE BARBOSA"
"Simulações computacionais para a iluminação natural em edifícios com fachada dupla","Em breve este conteúdo estará disponível.","SABRINA ANDRADE BARBOSA"
"Monitoria na disciplina - Projeto de Arquitetura 3","Em breve este conteúdo estará disponível.","WAGNER BARBOZA RUFINO"
"Transições sob lentes","Em breve este conteúdo estará disponível.","WAGNER BARBOZA RUFINO"
